,CLAVE,SITIO,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mgL,CALIDAD_DBO,DQO_mgL,CALIDAD_DQO,SST_mgL,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,SEMAFORO,CONTAMINANTES,,SEMAFOROO
99,DLPUE2013,ANTES DE LA CONFLUENCIA CON EL RIO ATOTONILCO,PUEBLA,SAN SALVADOR EL VERDE,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO A - TIPO 1,RIO,-98.46104,19.32276,2023,20.35,Aceptable,64.4,Contaminada,20,Excelente,11000000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
109,DLPUE2022M1,BARRANCA HONDA,PUEBLA,PUEBLA,RIO ALTO ATOYAC,BARRANCA HONDA,LÓTICO,RIO,-98.2275,19.11548,2023,352,Fuertemente contaminada,702,Fuertemente contaminada,226.67,Contaminada,93000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,E_COLI,",,Amarillo
110,DLPUE2050,ATOYAC LA CARMELITA P1 (26),PUEBLA,PUEBLA,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,RIO,-98.26461,18.99215,2023,135,Fuertemente contaminada,210.74,Fuertemente contaminada,215,Contaminada,43000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,",,Amarillo
111,DLPUE2053,ECHEVERRIA ANTES DE LA PLANTA DE TRATAMIENTO ATOYAC SUR,PUEBLA,PUEBLA,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,RIO,-98.27811,18.97201,2023,121,Fuertemente contaminada,241.47,Fuertemente contaminada,104,Aceptable,150000000,Fuertemente contaminada,Rojo,"DBO,DQO,CF,",,Amarillo
114,DLPUE2057,PRESA MANUEL AVILA CAMACHO 1,PUEBLA,PUEBLA,RIO ALTO ATOYAC,PRESA MANUEL AVILA CAMACHO,LÉNTICO (HUMEDAL),PRESA,-98.19187,18.92408,2023,16.13,Aceptable,60.82,Contaminada,20,Excelente,40000,Fuertemente contaminada,Rojo,"DQO,CF,",,Amarillo
117,DLPUE2064,PUENTE SAN FRANCISCO TOTIMEHUACAN,PUEBLA,PUEBLA,RIO ALTO ATOYAC,RIO ALSESECA,LÓTICO (HUMEDAL),RIO,-98.18956,18.96966,2023,359,Fuertemente contaminada,667.34,Fuertemente contaminada,370,Contaminada,430000000,Fuertemente contaminada,Rojo,"DBO,DQO,SST,CF,",,Amarillo
118,DLPUE2065,PRESA MANUEL AVILA CAMACHO 5,PUEBLA,PUEBLA,RIO ALTO ATOYAC,PRESA MANUEL AVILA CAMACHO,LÉNTICO (HUMEDAL),PRESA,-98.18208,18.91068,2023,24.1,Aceptable,60.82,Contaminada,20,Excelente,1500000,Fuertemente contaminada,Rojo,"DQO,CF,",,Amarillo
119,DLPUE2068,PRESA MANUEL AVILA CAMACHO 6,PUEBLA,PUEBLA,RIO ALTO ATOYAC,PRESA MANUEL AVILA CAMACHO,LÉNTICO (HUMEDAL),PRESA,-98.16672,18.90425,2023,22.5,Aceptable,57.24,Contaminada,20,Excelente,2100000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
120,DLPUE2070,MANUEL AVILA CAMACHO (OBRA DE TOMA) P1(32),PUEBLA,PUEBLA,RIO BAJO ATOYAC,PRESA MANUEL AVILA CAMACHO,LÉNTICO (HUMEDAL),PRESA,-98.10851,18.91253,2023,23.9,Aceptable,53.66,Contaminada,20,Excelente,230000,Fuertemente contaminada,Rojo,"DQO,CF,",,Verde
122,DLPUE2074M1,SANTA MARÍA TEXMELUCAN,PUEBLA,TLAHUAPAN,RIO ALTO ATOYAC,RIO ATOYAC,LÓTICO,RIO,-98.54273,19.28912,2023,11.57,Aceptable,26.43,Aceptable,20,Excelente,4000,Contaminada,Amarillo,"CF,",,Verde
