NOM_ENT,LAT,LON
MORELOS,18.70103,-99.24011
MORELOS,18.70213,-99.24096
MORELOS,18.76258,-99.23383
MORELOS,18.76336,-99.2347
MORELOS,18.77504,-99.23494
MORELOS,18.79025,-99.23372
MORELOS,18.79124,-99.2378
MORELOS,18.80009,-99.22682
MORELOS,18.80023,-99.22663
MORELOS,18.86542,-99.16504
MORELOS,18.62011,-99.33324
MORELOS,18.59042,-99.31494
MORELOS,18.765,-99.23193
MORELOS,18.54599,-99.26756
MORELOS,18.49248,-99.17645
MORELOS,18.76496,-99.32953
TAMAULIPAS,22.794,-98.87222
TAMAULIPAS,22.80638,-98.93369
TAMAULIPAS,22.80777,-98.9486
JALISCO,20.38093,-102.93485
JALISCO,20.40063,-102.98379
JALISCO,20.42087,-103.02968
JALISCO,20.41294,-103.12866
JALISCO,20.53794,-103.29631
JALISCO,20.66806,-103.1872
JALISCO,20.72349,-103.27983
JALISCO,20.78201,-103.32039
JALISCO,20.83915,-103.32898
JALISCO,20.50837,-103.17433
JALISCO,20.49843,-103.21638
JALISCO,20.56956,-103.1477
JALISCO,21.0484,-103.42616
JALISCO,21.03833,-103.42601
JALISCO,21.04487,-103.43114
JALISCO,21.04453,-103.4463
JALISCO,21.0475,-103.43317
JALISCO,21.68051,-103.81025
JALISCO,20.2295,-102.68716
JALISCO,20.58776,-103.13604
JALISCO,20.32358,-102.78582
JALISCO,20.38517,-102.92201
JALISCO,20.4001,-103.09157
BAJA CALIFORNIA,31.88228,-116.61652
BAJA CALIFORNIA,31.90947,-116.60351
BAJA CALIFORNIA,32.70583,-114.73056
BAJA CALIFORNIA,32.57353,-115.42747
BAJA CALIFORNIA,32.60486,-115.4474
BAJA CALIFORNIA,32.60576,-115.44519
BAJA CALIFORNIA,32.59525,-115.46003
BAJA CALIFORNIA,32.57276,-115.46024
BAJA CALIFORNIA,32.66399,-115.49845
